population,median_income,poverty_pop,NAME,state,county,tract,geoid
4284,68196,815,Census Tract 101; Cook County; Illinois,17,031,010100,17031010100
3682,68475,872,Census Tract 4604; Cook County; Illinois,17,031,460400,17031460400
6284,68207,860,Census Tract 4605; Cook County; Illinois,17,031,460500,17031460500
4376,32654,1855,Census Tract 4608; Cook County; Illinois,17,031,460800,17031460800
1346,17182,403,Census Tract 4610; Cook County; Illinois,17,031,461000,17031461000
2246,45855,362,Census Tract 4701; Cook County; Illinois,17,031,470100,17031470100
2161,72171,385,Census Tract 4801; Cook County; Illinois,17,031,480100,17031480100
1057,54338,180,Census Tract 4802; Cook County; Illinois,17,031,480200,17031480200
1131,57839,206,Census Tract 4803; Cook County; Illinois,17,031,480300,17031480300
5013,83567,170,Census Tract 4804; Cook County; Illinois,17,031,480400,17031480400
2725,46250,571,Census Tract 4805; Cook County; Illinois,17,031,480500,17031480500
2944,63175,373,Census Tract 4902; Cook County; Illinois,17,031,490200,17031490200
1775,67135,207,Census Tract 4905; Cook County; Illinois,17,031,490500,17031490500
1446,63947,201,Census Tract 4906; Cook County; Illinois,17,031,490600,17031490600
2459,44792,617,Census Tract 4907; Cook County; Illinois,17,031,490700,17031490700
3705,51591,339,Census Tract 4908; Cook County; Illinois,17,031,490800,17031490800
3084,35038,1286,Census Tract 4909.01; Cook County; Illinois,17,031,490901,17031490901
4697,67428,773,Census Tract 4909.02; Cook County; Illinois,17,031,490902,17031490902
3417,22438,1382,Census Tract 4910; Cook County; Illinois,17,031,491000,17031491000
4205,68155,347,Census Tract 4911; Cook County; Illinois,17,031,491100,17031491100
1932,53586,281,Census Tract 4912; Cook County; Illinois,17,031,491200,17031491200
2131,40700,653,Census Tract 4913; Cook County; Illinois,17,031,491300,17031491300
2541,36480,787,Census Tract 4914; Cook County; Illinois,17,031,491400,17031491400
3231,71108,408,Census Tract 5001; Cook County; Illinois,17,031,500100,17031500100
1831,38451,366,Census Tract 5002; Cook County; Illinois,17,031,500200,17031500200
1794,48469,488,Census Tract 5003; Cook County; Illinois,17,031,500300,17031500300
3639,56806,881,Census Tract 5101; Cook County; Illinois,17,031,510100,17031510100
3714,55417,839,Census Tract 5102; Cook County; Illinois,17,031,510200,17031510200
4640,30607,1561,Census Tract 5103; Cook County; Illinois,17,031,510300,17031510300
2062,57446,293,Census Tract 5201; Cook County; Illinois,17,031,520100,17031520100
3652,58438,1021,Census Tract 5202; Cook County; Illinois,17,031,520200,17031520200
5925,50276,791,Census Tract 5203; Cook County; Illinois,17,031,520300,17031520300
4393,49505,860,Census Tract 5204; Cook County; Illinois,17,031,520400,17031520400
5171,87381,276,Census Tract 5205; Cook County; Illinois,17,031,520500,17031520500
2739,99688,188,Census Tract 5206; Cook County; Illinois,17,031,520600,17031520600
1915,38027,500,Census Tract 5301; Cook County; Illinois,17,031,530100,17031530100
4358,41464,1185,Census Tract 5302; Cook County; Illinois,17,031,530200,17031530200
3484,53574,369,Census Tract 5303; Cook County; Illinois,17,031,530300,17031530300
2356,80147,480,Census Tract 5304; Cook County; Illinois,17,031,530400,17031530400
5118,39632,1984,Census Tract 5305.01; Cook County; Illinois,17,031,530501,17031530501
1464,63621,254,Census Tract 5305.02; Cook County; Illinois,17,031,530502,17031530502
4369,47262,633,Census Tract 5305.03; Cook County; Illinois,17,031,530503,17031530503
2385,38304,561,Census Tract 5306; Cook County; Illinois,17,031,530600,17031530600
4460,16712,2380,Census Tract 5401.01; Cook County; Illinois,17,031,540101,17031540101
3357,28711,1690,Census Tract 5401.02; Cook County; Illinois,17,031,540102,17031540102
6201,-666666666,896,Census Tract 5501; Cook County; Illinois,17,031,550100,17031550100
2824,70197,207,Census Tract 5502; Cook County; Illinois,17,031,550200,17031550200
1284,59286,76,Census Tract 5601; Cook County; Illinois,17,031,560100,17031560100
1372,46979,122,Census Tract 5602; Cook County; Illinois,17,031,560200,17031560200
3079,56250,414,Census Tract 5603; Cook County; Illinois,17,031,560300,17031560300
1744,77125,373,Census Tract 5604; Cook County; Illinois,17,031,560400,17031560400
3584,78411,454,Census Tract 5607; Cook County; Illinois,17,031,560700,17031560700
6003,103098,184,Census Tract 5608; Cook County; Illinois,17,031,560800,17031560800
5131,117188,180,Census Tract 5609; Cook County; Illinois,17,031,560900,17031560900
6040,106375,251,Census Tract 5610; Cook County; Illinois,17,031,561000,17031561000
5888,95926,95,Census Tract 5611; Cook County; Illinois,17,031,561100,17031561100
1421,52212,394,Census Tract 5701; Cook County; Illinois,17,031,570100,17031570100
2084,-666666666,161,Census Tract 5702; Cook County; Illinois,17,031,570200,17031570200
5951,50641,566,Census Tract 5703; Cook County; Illinois,17,031,570300,17031570300
1712,75125,211,Census Tract 5704; Cook County; Illinois,17,031,570400,17031570400
2699,77772,41,Census Tract 5705; Cook County; Illinois,17,031,570500,17031570500
2662,51111,541,Census Tract 5801; Cook County; Illinois,17,031,580100,17031580100
2988,39865,573,Census Tract 5802; Cook County; Illinois,17,031,580200,17031580200
2569,61974,217,Census Tract 5803; Cook County; Illinois,17,031,580300,17031580300
4672,55355,641,Census Tract 5804; Cook County; Illinois,17,031,580400,17031580400
4716,45854,596,Census Tract 5805.01; Cook County; Illinois,17,031,580501,17031580501
4932,46853,1121,Census Tract 5805.02; Cook County; Illinois,17,031,580502,17031580502
5402,59631,788,Census Tract 5806; Cook County; Illinois,17,031,580600,17031580600
6137,57269,1813,Census Tract 5807; Cook County; Illinois,17,031,580700,17031580700
2096,63333,162,Census Tract 5808; Cook County; Illinois,17,031,580800,17031580800
1672,69697,176,Census Tract 5905; Cook County; Illinois,17,031,590500,17031590500
3813,65192,598,Census Tract 5906; Cook County; Illinois,17,031,590600,17031590600
2914,76667,297,Census Tract 5907; Cook County; Illinois,17,031,590700,17031590700
3963,62599,588,Census Tract 6004; Cook County; Illinois,17,031,600400,17031600400
2953,60625,420,Census Tract 6006; Cook County; Illinois,17,031,600600,17031600600
2870,65342,551,Census Tract 6007; Cook County; Illinois,17,031,600700,17031600700
3733,68526,488,Census Tract 6009; Cook County; Illinois,17,031,600900,17031600900
5670,38984,2421,Census Tract 6103; Cook County; Illinois,17,031,610300,17031610300
1888,37480,361,Census Tract 6104; Cook County; Illinois,17,031,610400,17031610400
1521,86705,144,Census Tract 6108; Cook County; Illinois,17,031,610800,17031610800
