area_numbe,community,population,median_income,poverty_pop,poverty_rate,income_quintile,area_numbe_key,poverty_rate_pct,income_per_capita
66,CHICAGO LAWN,52464,41099.0,11363,0.21658661177188168,Q1 (Lowest),66,21.7,0.78
67,WEST ENGLEWOOD,25772,30313.0,8432,0.32717678100263853,Q1 (Lowest),67,32.7,1.18
68,ENGLEWOOD,21378,26304.0,7685,0.35948171016933295,Q1 (Lowest),68,35.9,1.23
69,GREATER GRAND CROSSING,28991,40926.5,8660,0.2987133938118727,Q1 (Lowest),69,29.9,1.41
7,LINCOLN PARK,69099,154812.5,5767,0.08345996324114677,Q5 (Highest),7,8.3,2.24
70,ASHBURN,42745,80580.5,5635,0.1318282840098257,Q4,70,13.2,1.89
71,AUBURN GRESHAM,46468,45663.0,12087,0.26011448738917103,Q2,71,26.0,0.98
72,BEVERLY,19781,118836.0,997,0.05040190081391234,Q5 (Highest),72,5.0,6.01
73,WASHINGTON HEIGHTS,26456,64013.5,3745,0.1415557907469005,Q3,73,14.2,2.42
74,MOUNT GREENWOOD,19121,114013.5,1143,0.05977720830500497,Q5 (Highest),74,6.0,5.96
75,MORGAN PARK,20718,65877.0,2687,0.12969398590597547,Q3,75,13.0,3.18
76,OHARE,13771,68386.5,1134,0.08234696100501053,Q4,76,8.2,4.97
77,EDGEWATER,56099,55067.0,8085,0.14412021604663186,Q3,77,14.4,0.98
8,NEAR NORTH SIDE,95501,114681.0,9311,0.09749636129464613,Q5 (Highest),8,9.7,1.2
9,EDISON PARK,11402,119421.0,726,0.06367303981757587,Q5 (Highest),9,6.4,10.47
